文件（访视层）,层级1（表单层）,层级2,层级3,层级4,层级5,层级6,层级7,层级8,层级9,层级10,数据单位,展示类型,group是否可重复,table是否多行,可选项值,数据类型,字段冲突处理规则,提示词- 字段说明,抽取提示词（示例）,字段可否为空（nullable）,是否为主键级字段,时间属性字段组绑定,是否为敏感字段（is_sensitive）,字段是否可编辑（editable）,是否为抽取单位组,主要来源（Primary Sources）,次要来源（Secondary Sources）
检验检查,肿瘤标志物,甲胎蛋白,,,,,,,,,ng/mL,text,,,,数字,,,,,,,,,,,
检验检查,肿瘤标志物,癌胚抗原,,,,,,,,,ng/mL,text,,,,数字,,,,,,,,,,,
检验检查,肿瘤标志物,糖类抗原19-9,,,,,,,,,U/mL,text,,,,数字,,,,,,,,,,,
检验检查,肿瘤标志物,异常凝血酶原,,,,,,,,,ng/mL,text,,,,数字,,,,,,,,,,,
检验检查,肿瘤标志物,甲胎蛋白异质体%,,,,,,,,,%,text,,,,数字,,,,,,,,,,,
检验检查,传染病检查,,,,,,,,,,,group,可重复,,,,,,,,,,,,是,"传染学检测,综合检验报告",出院小结/记录
检验检查,传染病检查,送检日期,,,,,,,,,,date,,,,日期,,,,,,,,,,,
检验检查,传染病检查,报告日期,,,,,,,,,,date,,,,日期,,,,,,,,,,,
检验检查,传染病检查,样本编号,,,,,,,,,,text,,,,文本,,,,,,,,,,,
检验检查,传染病检查,丙型肝炎病毒抗体,,,,,,,,,,radio,,,"阳,阴,疑似",文本,,,,,,,,,,,
检验检查,传染病检查,乙型肝炎表面抗原,,,,,,,,,,radio,,,"阳,阴,疑似",文本,,,,,,,,,,,
检验检查,传染病检查,乙型肝炎表面抗体,,,,,,,,,,radio,,,"阳,阴,疑似",文本,,,,,,,,,,,
检验检查,传染病检查,乙型肝炎核心抗体,,,,,,,,,,radio,,,"阳,阴,疑似",文本,,,,,,,,,,,
检验检查,微生物检查,,,,,,,,,,,group,可重复,,,,,,,,,,,,是,"微生物培养与药敏,综合检验报告",出院小结/记录
检验检查,微生物检查,送检日期,,,,,,,,,,date,,,,日期,,,,,,,,,,,
检验检查,微生物检查,报告日期,,,,,,,,,,date,,,,日期,,,,,,,,,,,
检验检查,微生物检查,检查阶段,,,,,,,,,,radio,,,"术前阶段,术后阶段,未知",文本,,,,,,,,,,,
检验检查,微生物检查,样本编号,,,,,,,,,,text,,,,文本,,,,,,,,,,,
检验检查,微生物检查,检查类型,,,,,,,,,,radio,,,"细菌涂片,细菌培养,真菌涂片,真菌培养,结核杆菌涂片,结核杆菌培养,其他",,,,,,,,,,,,
检验检查,微生物检查,标本来源类型,,,,,,,,,,radio,,,"导管,引流瓶,其他",,,,,,,,,,,,
检验检查,微生物检查,结果,,,,,,,,,,radio,,,"阳,阴,疑似",文本,,,,,,,,,,,
